,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
22,2023-03-23,186.36887299435867,159.88599681365025,206.56465172467045,186.36887299435867,186.36887299435867,-3.339951594053556,-3.339951594053556,-3.339951594053556,-3.339951594053556,-3.339951594053556,-3.339951594053556,0.0,0.0,0.0,183.0289214003051
23,2023-03-24,186.43890302835587,158.5454947053659,207.03353469801647,186.43890302835587,186.43890302835587,-3.140213277914457,-3.140213277914457,-3.140213277914457,-3.140213277914457,-3.140213277914457,-3.140213277914457,0.0,0.0,0.0,183.2986897504414
24,2023-03-27,186.6489931303475,161.20638906986443,208.53552953427987,186.6489931303475,186.6489931303475,-3.5589341468103664,-3.5589341468103664,-3.5589341468103664,-3.5589341468103664,-3.5589341468103664,-3.5589341468103664,0.0,0.0,0.0,183.09005898353712
25,2023-03-28,186.71902317206977,163.1347556490874,209.93713570084964,186.71902317206977,186.71902317206977,-0.7246710724141165,-0.7246710724141165,-0.7246710724141165,-0.7246710724141165,-0.7246710724141165,-0.7246710724141165,0.0,0.0,0.0,185.99435209965566
26,2023-03-29,186.7890532137921,160.97793654536292,209.30181707840572,186.7890532137921,186.7890532137921,-1.6802832519861082,-1.6802832519861082,-1.6802832519861082,-1.6802832519861082,-1.6802832519861082,-1.6802832519861082,0.0,0.0,0.0,185.108769961806
27,2023-03-30,186.85908325551438,159.56802223486477,208.0454295902784,186.85908325551438,186.85908325551438,-3.339951594050255,-3.339951594050255,-3.339951594050255,-3.339951594050255,-3.339951594050255,-3.339951594050255,0.0,0.0,0.0,183.51913166146412
28,2023-03-31,186.92911329723668,160.65561586956136,206.9388365879384,186.92911329723668,186.92911329723668,-3.1402132778965317,-3.1402132778965317,-3.1402132778965317,-3.1402132778965317,-3.1402132778965317,-3.1402132778965317,0.0,0.0,0.0,183.78890001934016
29,2023-04-03,187.13920342240357,160.2695302217298,205.83551331295016,187.13920342240357,187.13920342240357,-3.55893414681547,-3.55893414681547,-3.55893414681547,-3.55893414681547,-3.55893414681547,-3.55893414681547,0.0,0.0,0.0,183.5802692755881
30,2023-04-04,187.20923346412587,162.66616817384303,212.219777099166,187.20923346412587,187.20923346412587,-0.7246710724126881,-0.7246710724126881,-0.7246710724126881,-0.7246710724126881,-0.7246710724126881,-0.7246710724126881,0.0,0.0,0.0,186.48456239171318
31,2023-04-05,187.27926350584815,161.40452090947255,208.91986398086468,187.27926350584815,187.27926350584815,-1.680283251986756,-1.680283251986756,-1.680283251986756,-1.680283251986756,-1.680283251986756,-1.680283251986756,0.0,0.0,0.0,185.59898025386138
32,2023-04-06,187.34929354757045,158.67378375450443,206.70559410262373,187.34929354757045,187.34929354757045,-3.33995159404738,-3.33995159404738,-3.33995159404738,-3.33995159404738,-3.33995159404738,-3.33995159404738,0.0,0.0,0.0,184.00934195352306
33,2023-04-10,187.6294138253529,160.24296320147133,208.18759050257486,187.6294138253529,187.6294138253529,-3.5589341468144013,-3.5589341468144013,-3.5589341468144013,-3.5589341468144013,-3.5589341468144013,-3.5589341468144013,0.0,0.0,0.0,184.0704796785385
34,2023-04-11,187.69944389479855,163.27423435441406,211.68330784811855,187.69944389479855,187.69944389479855,-0.7246710724077815,-0.7246710724077815,-0.7246710724077815,-0.7246710724077815,-0.7246710724077815,-0.7246710724077815,0.0,0.0,0.0,186.97477282239078
35,2023-04-12,187.76947396424416,162.65542584572816,210.24421063466926,187.76947396424416,187.76947396424416,-1.6802832519874045,-1.6802832519874045,-1.6802832519874045,-1.6802832519874045,-1.6802832519874045,-1.6802832519874045,0.0,0.0,0.0,186.08919071225677
